trade_date,score,Read_count
20200630,0.413383747,16913235838326644930752115620625928410287321671226951811546891403982751662752632339433192371682993192191905771399236235112057393915971319833727120718133021823125554517738289933923136816615660719527020615942329416750343913616554535721019820568320620832842724924841744418149543828134027924335921118724219317776246015118224913835422421646042105202341737231683425261411411326325771221101281171131151199036210034591659110459571100112343208106921059822410718024022011710110737791519102114969994164142135119102677124138102103831308591619101270300362100345916591104595711001123432081069210598224107180240220117101107377915191021149699941641421351191026771241381021038313085916191012703001183931341101041169710915610513210710513115013011124510453712811813442910831114949013514416914514312415329717949618359512220732112415811916315019833721113125414718829331513872891771864172232822131471462222221781451665041733102852801691831763461461329201176452162355748446211246382168196253166286160200184179174291169202125113130175230114134121209118112107112118614112115108212109991091021112401541031207331061201091101181201321161221031311632171071171051211651291061271261321431592681498141991491431663351803704744182189314470291210166543
20200701,0.361993481,149137283187247249822715352223215614412992450334191697716318310011564173663741491491611501962011941288205164124388238305263416344216640920719813354322491491071610776115255964549021518225121526123938034322532268021126568530437044232822130718426629931162714111621832073718201428276261186150827321381596215435589275189209169339371183342180455130182229517229252700432199159179128448131194137206513616011613917431216415912926713315313812324512728520712834411711011213420611011015510721756181139010997232152159100951021271411631461248675336106110136846209173113102132991291308938011829031533792829287811951447989798510530085691841602089187861588397811021958311778708584908282771397699678773877532610078847592847572767584728570928485911072171087735517428231416010626429032710129797851281322148638592139159939299103100808898316309971038382172119981921149598126138108120155112118110163931061031239710434111810714733416919435123439431789130168911171682601291261352211538710198999010510889115971089128612270910412126149013890939410410911810715011313211365220611744931177916198961083551089311110435710899949511714725393474451221161241102331581181491139874113580308491815023952725722911813231511113815311310916437111920919615616022929631411110712120097276129261365275117109115123636148227298151161125648121142268142167192210148381155162214165162119121143395151120144186137139153204205182204185304405160270248195189184146218147422154123170150161150119134414159135124134143162134124138135252133135137219134785113140126113871301131241531281333491441471601411381371161721693623361451331612193102264170169417246594205424512508371863512022002941673254192165263168572160203185199160325236271236165281295553241125135209351136137137137132869
20200702,0.370174079,307217105525417220039195539389232253718721559419466326045825228240159320556920451139275243832741826426823166520235335123120535142215755041662798602813946233533371826706382381611762001902271566464312063374014042214002572332701791761761771821841312002071442173861621372291727301506241643611641127161141140106713414047017217620019022715664643120633740140422140025723327017917617617718218413120020714421738616213722917273015062416436116411271611411401067134140470172144279189681179136129150229152189282136176197149158113161116101101146113124355118107171111891681022291098894968410025418087161909297102107988511397911019498852051079810199989192114115928491199829189115989113379220838790107821308488872129094858694949412187221178928310386791652051079810199989192114115928491199829189115989113379220838790107821308488872129094858694949412187221178928310386791658680879111314086921489498214195270681108989110929610199941161051011639010512414711742563012410585134103108100871181009111697217849010292771111351032291009994953102092491037594113112931759988101958197989510984947992888038077334835409081868491100801099889988080105809614911896106107101867896859110011694851834147589313103105117104170929878362797624210210556310610510894829595112891021691951098710912634188248139131237113210286197145158134599146155293138224121133292138132304127136156130109342400535127148299134362159123136133335118315127118124147332132262132265145137164171292272310143153150162133117182456114141168149125135172869151132164200118140165131130140133140176129129147137143199157283123201548224177131283140174203185175162150149290160152135394218169143245218155138211142184130179136133128145148158139165151151147158142127155163136139155146151296135123136164122126126115120198118121117162123124123109109118105125135125318119109167131122314299126153199183209171125134149124133125115117124160135132131129103117143110155124127126129129136130115232138397258162140151129127176128157149125123136149133152127161260148165122123125137204136109120466138127177149125185134152144131222173120208134157135123142137140194215165161292186170153141399164164149142173137147229158142162141131144134175161119156163114747866315415966313714097215620231118019232917417125518321228523521352818617015314139916416414914217313714722915814216214113114413417516111915616311474786631541596631371409721562023111801923291741712551832122852353552135282862892044431900141226376435117526722520822373502662932772642192232046771947217175164524917913271751631581573602901921462181581591261241682112842221161504591002148835302142123122
20200703,0.278774196,20339210971068317274435253436327552732356104733550963526836142126944433025917948058313306615872271962033791744186267741321170180176619745207408194842673226732028534532613784752342222121724561741911941791323432301441231631322412112142585456415241683711481711241761311391504941574251082891364263751223741201581221302281381181332201091221311321151151211863421274081421501511581471481921311421421431551851603245229152295138154150157347218339113131712112621813314112912713513916511851231151241741342391331621441501511581471481921311421421431551851603245229152295138154150157347218339113131712112621813314112912713513916511851231151241741342391331621441341331331451551251241611322051971281461601731391441281791531501503361251361541261441562351592961531387955227122148139156136287222160154137161153139246191337128208156265142161145153146248175152142143222221126215185291198157194232156144221773140148174253645143878141214139164169227153278148163151167147194196338170183143168120142183163151293166145154138144374143243126135162160166137160152169140558118152132159234138143143306146167135513267516414418017216116516038715114062551331631621801571601639491581902467881521692771652321825721524511731851631672281642461941971931601942622341951742002551771594422341651671871801932132032001591871661852171891602662982022361741761811851851881781822536031832551781681561711931971761801831971982212885551781721491861701772271511841452451821671601762191902015153221862982022361741761811851851881781822536031832551781681561711931971761801831971982212885551781721491861701772271511841452451821671601762191902015153221868122311892852882137033272182162522222182463274722971883044742062162061322162182432872671299243261271244930632237478468270456473146638146928115022634753602912122095372731807281416625628168141159183417358170
20200704,0.497807981,7.497E+208
20200705,0.145127998,1.6358E+215
20200706,0.41506546,32421837227577952042306145344752992962892433133472832752812952252392137999211266858220448280451242157228206885170149170221191348370208199535254144138142267168123143147170159143153178139809140133132203131135165436813612515223415024215722820688517014917022119134837020819953525414413814226716812314314717015914315317813980914013313220313113516543681361251521372341504301151291131291131131333201331481551301302223211614661261271151561171531291153442031191161101193261091071008811710212810517699103112437108417982061031231211201188922510110811210210411911110410746593110988811713011114012313619543513412213313329412222913619211847118934422015227824913616615014820925513712922524216317817217224115729917121516318614218718414422013715718818713614118026419716714814210811919714916315416458516927386353126827410575002422024538522593917302491972504469021881273389620317128629
20200707,0.337179799,59416810584111661983521009383258188238276254192371184387354283517390196222329385192444264293281321379179181166596249267324329111818524228813731536613016318190512514716115718413317013612014514650311211912814865813743112612828351726432118116659624926732432911181852422881373153661301631819051251471611571841331701361201451465031121191281486581374311261281292051181691315491511611311612581181211183521091301151061171941281119514712512111414011213111811411346801171131089612212512711213012527110913611011638312548112111110710641773010710911113012221812110311212010612011710810711911511912413014323111213610917810914481341261131211161141441141291211191251271101101111101161331431333511411041921001351091141271111031171371081091721321351241341311601581632362332201924671086161255136162134127145124384244127133127178136164155461133167178141179157148147204148500177258154276331198160124242187184123143167127129232315134127131132227109119127131129147151124561178126128127421133101116127136132132125136199365119112100711314910813412313412412310810811525216610612211614411211412810612213016810610112912814613413411712716611613334013013610913921320040618389115125842123265126112220931591351211421071421151091261331251423582651301131091211551512362061692101595901632047140466101816617121025821817035848133683513325694611780149128264725317618396150359259505132184
20200708,0.441784785,140625825222337232784826024319928025539921132815437414820527428623336434915117916914413213222413618914613814233529816213213010214113912913537311014312211712412311913118113541113412410312312313314225026240610912420138714112714213513613814233511629816213213010214113912913537311014312211712412311913118113541113412410312312313314225026240610912420138714112714213520091481803961491201422721461291351481251261261802473382241341721371382311491532168281221321761931362252251321652011402051278163120135156146140257223143126123127119127344133222148140206152157146150433157310163247128150167180139373149242155161179166151118182157282162201182194158150273322148146178162197157166438153159177185176164155169257165171160155158171157180168175783190172180155166164165167185170140251161227141157730221162159237148196160136506159173153194128314821816118629110843157162477168158487347186175409471599202670189187163254259
20200709,0.333615967,1687881312391528245310513754222023786651832292181602367071484842372232227266243505296992551293451453601271253289180821729422021026717962833115526820211331692431231311461601942101261201201281101052271261641351411401111131171211171211211301901101451291841151511871131231984359610210011110010610939714296110114125104120971141109910610510792136829912810710397112114959610898167104102512108116176114140127133177111110172106107123101103165112113120971141109910610510792136829912810710397112114959610898167104102512108116176114140127133177111110172106107123101103165112113105124115107117124135141119121105117110114120108142150121112190800126116113111115103116105126101192100122155141174145159153144141126133161160151124139301151134175608127218134149137131173138142124117141137130143245118128133105152195183133142144143144131139234175147196150148158147306154254856154169355515918815322215815326215429548417016714324511812813310515219518313314214414314413113923417514719615014815814730615425485615416935551591881532221581532621542954841701671631631571561681721571561681781873043592986422203008811705544987725347492061202162192427
20200710,0.363061804,1984553472504022627994513595003003143133263280212554829202305225218229218353836293239234217225212196214181245196242161232125141144222124142131129120132124124203122109201149121147135176209176141118165197316261281462222291074403974211071245591271181211301341101131221501759131151891111891241252641251231121171191341271161382292441752011173871301161831082841171131461061191221111841861101782992812221311101711051181071061231101092001361681101008795921881241781181278415521512513212512914611113012818213114612513711013215633115117315547616713813712224313014813613612716519827015527814713513046816013428114012414424460615723417614719811112912612111912011510610811331911212112211611614014114715712321215514016013515612913912740711314114812110821314011413820025712110212222814911815311514013817912798150155186261246135
20200711,0.341688326,2.453E+114
20200712,0.402953046,5.96277E+87
20200713,0.397659429,4842663326783345441541206246114659213792554053622736202232082391512342161972073034152727781381561832041481311541421331351401311411491501641161331432211361291241351363171341281401201201421151311401101082921131332987582981072101181081091271121121181241491022371161161609712999105105112116108100121113103198129121118991661181231161131079410317111615114012214313614314715924538722515020215413741118319023613719215216711617018920216512540813914115315114916113914114138023216015012814917317418324213918313213514313212212213814320714812713914715715216638516815417412915114112512816570013814714114613811914130715812513813012316313614412013714221328813014512513316621115150814612615215512120318113515412612213314713214513012714414313115641578914528714712811714737914513612612513012011513012413713116714220312312415113313714114214912972610171221351271431291451572811097166226232917321617819216521313062818514610981131531571422031231241511331371411421491297261017122135127143129145157281109716622623291732161781921652131306281851461098113153157165361
20200714,0.435681763,48419375433719020124522448369993132266259344596311321278909398375219518340233250186218244730548818115620119417720019072516515014718123516016619020814983699931322662593445963113212789093983752195183402332501862182447305488181156201194177200190725165150147181235160166190208149188278171204289146173135177222147385214170167263173164146149174167210196140160210165178248170216153134137178152165167158129218237134249488155152185175233174168137140285154683153189289216176179276174401181172160187198344169165171169153167176191161262165390150157171159203152392159153258289146164169167179166157283242181165170154194186209306189344169165171169153167176191161262165390150157171159203152392159153258289146164169167179166157283242181165170154194186209306189238202151193784203199179143917020620519218220637901971434338197168187245326364
20200715,0.332386144,52268922419932842667141424319723469351918016665717724016913815435566418317028389714320735815146014820112313626414333412612719712112915917611027312414612725116012316420631710913811311612812911714213611811911612611611812285921011041071127488709711110710410612493941098184889613399108949248810629398108106104939496877690105108102878797931217926893878210382299761143539194991309811385881059689108111105931161131819289105114901241381281141431481371271281261281321261102221399941313411710335411313310413511112612611011711210910412514914811713653112212313312523514312112912313543912712813212611022213999413134117103354113133104135111126126110117112109104125149148117136531122123133125235143121129123135439127122115110190126115206138189230167111223123231129120119266112118107173182190961111151341221091091051132589510711310223921895180889511310093100931071031241111171131292131164121155120145161359152142143134151139149159158186164172141123150122169155132127145170294152150157121156220161176143160138137164135213151124130140132126138151151368198156156245161203152149178171205172122719428013374716734912772031242288291325252
