ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600196.SH,20200716,42.8,42.8,38.55,38.55,42.83,-4.28,-9.993,1287031.38,5164671.894
600196.SH,20200715,39.96,42.83,39.5,42.83,38.94,3.89,9.9897,1337556.53,5628433.022
600196.SH,20200714,39.58,40.5,38.28,38.94,37.64,1.3,3.4538,952881.53,3736800.81
600196.SH,20200713,35.87,37.97,35.87,37.64,35.54,2.1,5.9088,644842.53,2387117.286
600196.SH,20200710,35.82,36.54,35.37,35.54,36.0,-0.46,-1.2778,497894.36,1786467.652
600196.SH,20200709,35.39,36.6,35.23,36.0,35.54,0.46,1.2943,578583.21,2076552.179
600196.SH,20200708,35.47,35.7,35.07,35.54,35.53,0.01,0.0281,471894.26,1667929.154
600196.SH,20200707,35.48,36.2,35.01,35.53,35.33,0.2,0.5661,659338.13,2342903.149
600196.SH,20200706,34.42,35.5,34.12,35.33,34.42,0.91,2.6438,631635.26,2208197.081
600196.SH,20200703,34.69,34.69,33.61,34.42,34.47,-0.05,-0.1451,504572.17,1719388.01
600196.SH,20200702,33.88,35.88,33.87,34.47,33.18,1.29,3.8879,796728.93,2782488.923
600196.SH,20200701,33.83,33.83,32.8,33.18,33.85,-0.67,-1.9793,408415.94,1354028.212
600196.SH,20200630,33.93,33.97,33.47,33.85,33.88,-0.03,-0.0885,340713.83,1148863.358
600196.SH,20200629,32.73,33.9,32.72,33.88,32.66,1.22,3.7355,412098.15,1377705.114
600196.SH,20200624,33.11,33.25,32.58,32.66,33.12,-0.46,-1.3889,268248.79,879611.731
600196.SH,20200623,32.93,33.2,32.67,33.12,33.0,0.12,0.3636,263415.21,867876.263
600196.SH,20200622,33.5,33.58,32.51,33.0,33.64,-0.64,-1.9025,416384.62,1372499.955
600196.SH,20200619,33.25,33.97,33.25,33.64,33.67,-0.03,-0.0891,323797.22,1088528.151
600196.SH,20200618,34.75,34.75,33.61,33.67,34.84,-1.17,-3.3582,470724.97,1598634.288
600196.SH,20200617,33.86,35.0,33.85,34.84,33.4,1.44,4.3114,607247.04,2096281.647
600196.SH,20200616,33.35,33.57,32.84,33.4,33.35,0.05,0.1499,319446.98,1061776.214
600196.SH,20200615,33.54,33.99,32.81,33.35,33.0,0.35,1.0606,475904.19,1591089.821
600196.SH,20200612,31.6,33.5,31.59,33.0,32.1,0.9,2.8037,513968.23,1685758.978
600196.SH,20200611,32.08,32.6,31.66,32.1,32.34,-0.24,-0.7421,379349.65,1221712.239
600196.SH,20200610,31.34,32.34,31.05,32.34,31.26,1.08,3.4549,458276.97,1460392.537
600196.SH,20200609,30.98,31.47,30.78,31.26,30.94,0.32,1.0343,224843.04,702677.022
600196.SH,20200608,31.18,31.38,30.83,30.94,31.2,-0.26,-0.8333,183440.65,569472.446
600196.SH,20200605,30.99,31.22,30.55,31.2,31.01,0.19,0.6127,192784.0,595018.842
600196.SH,20200604,31.52,31.55,30.85,31.01,31.35,-0.34,-1.0845,197131.22,612813.168
600196.SH,20200603,30.98,31.82,30.91,31.35,30.88,0.47,1.522,343677.21,1080030.776
