ts_code,trade_date,open,high,low,close,change,pct_chg,vol,amount,5MA,MACD,slowj,score,n_vol,n_amount
600559.SH,20140207,22.07,22.07,21.6,21.88,-0.31,-1.4,19228.44,41957.949,22.386,-0.535956809,7.279203056,0.622859442,-0.141458347,-0.199068806
600559.SH,20140210,21.91,22.54,21.88,22.49,0.61,2.79,27904.75,62066.223,22.386,-0.612742356,21.88236238,0.549478973,-0.10075016,-0.144608028
600559.SH,20140211,22.4,23.09,22.2,22.67,0.18,0.8,26689.7,60623.819,22.386,-0.65156018,27.44350814,0.6239,-0.106451027,-0.148514601
600559.SH,20140212,22.58,22.66,22.3,22.52,-0.15,-0.66,15494.82,34780.971,23.044,-0.686513629,32.39542457,0.746480628,-0.158976036,-0.218506764
600559.SH,20140213,22.52,22.91,22.35,22.39,-0.13,-0.58,16819.19,38098.769,23.044,-0.716445663,27.29452502,0.566616341,-0.152762254,-0.209520918
600559.SH,20140214,22.35,22.98,22.35,22.83,0.44,1.97,20926.09,47550.189,23.044,-0.69663235,33.56053218,0.2097,-0.133493181,-0.183922914
600559.SH,20140217,22.83,24.1,22.63,23.95,1.12,4.91,52901.24,125733.014,23.044,-0.583825538,79.57552188,0.49654745,0.016530318,0.027825614
600559.SH,20140218,23.8,23.85,23.35,23.53,-0.42,-1.75,16837.7,39597.884,23.044,-0.522295125,106.195919,0.349182964,-0.152675407,-0.20546075
600559.SH,20140219,23.45,24.17,23.43,23.59,0.06,0.26,16111.77,38432.588,22.938,-0.463349129,110.1177813,0.81025717,-0.156081382,-0.208616811
600559.SH,20140220,23.62,23.95,23.2,23.38,-0.21,-0.89,17679.84,41422.826,22.938,-0.428638174,73.3654376,0.693653304,-0.148724189,-0.20051812
600559.SH,20140221,23.4,23.64,23.09,23.19,-0.19,-0.81,8946.15,20885.276,22.938,-0.411714911,47.50122634,0.570828935,-0.189701596,-0.256141539
600559.SH,20140227,21.97,22.16,21.78,21.81,-0.16,-0.73,6233.45,13675.317,21.592,-0.601651827,-1.515592626,0.981919123,-0.202429253,-0.275668822
600559.SH,20140228,21.88,22.23,21.55,21.79,-0.02,-0.09,11935.36,25997.098,21.592,-0.630161042,12.31896719,0.439442974,-0.175676588,-0.2422968
600559.SH,20140303,21.68,21.93,21.48,21.69,-0.1,-0.46,14409.8,31204.472,21.592,-0.653293207,6.746133785,0.324514738,-0.164066818,-0.22819327
600559.SH,20140304,21.66,21.66,20.52,20.7,-0.99,-4.56,29550.81,61954.741,21.592,-0.742946121,2.967164524,0.742957456,-0.093027048,-0.144909964
600559.SH,20140305,20.66,21.59,20.53,21.23,0.53,2.56,30563.45,64291.838,20.804,-0.762441182,15.80970517,0.633769022,-0.088275865,-0.138580225
600559.SH,20140306,21.1,21.1,20.55,20.74,-0.49,-2.31,15483.66,32157.926,20.804,-0.808114622,15.01455693,0.541788396,-0.159028398,-0.225610958
