ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj,score,Read_count
002594.SZ,20151118,67.95,68.8,65.67,66.18,67.88,-1.7,-2.5,187859.14,1258937.869,67.71,69.005,66.08466667,1.9998407569999999,2.520833451,-0.520992694,22.22876341,42.65709082,-18.6278914,0.41590299299999994,278471
002594.SZ,20151119,66.5,68.67,65.5,68.4,66.18,2.22,3.35,175349.25,1170532.654,67.71,69.005,66.08466667,1.866612705,2.389989302,-0.523376597,17.40102349,27.42021104,-2.637351612,0.3900005,372669
002594.SZ,20151120,68.12,68.2,66.27,66.6,68.4,-1.8,-2.63,169425.48,1133723.902,67.71,69.005,66.08466667,1.5973700690000001,2.231465455,-0.634095387,16.14671335,18.59216675,11.25580654,0.315154895,286994
002594.SZ,20151123,66.0,66.99,64.7,64.9,66.6,-1.7,-2.55,171631.87,1126657.6909999999,63.711999999999996,63.141999999999996,62.87866667,1.2326088,2.031694124,-0.7990853240000001,14.94892937,16.1655554,12.51567731,0.354368489,275264
002594.SZ,20151124,64.99,64.99,62.86,64.51,64.9,-0.39,-0.6,187262.28,1194439.524,63.711999999999996,63.141999999999996,62.87866667,0.901669245,1.8056891480000001,-0.9040199040000001,9.182906596,13.426183100000001,0.69635358,0.386317015,267671
002594.SZ,20151125,64.2,65.69,63.82,65.12,64.51,0.61,0.95,157092.62,1019115.47,63.711999999999996,63.141999999999996,62.87866667,0.680771653,1.580705649,-0.8999339959999999,11.54644316,11.89275971,10.85381007,0.440725769,395090
002594.SZ,20151126,65.5,65.7,63.68,63.73,65.12,-1.39,-2.13,156347.91,1009955.2890000001,63.711999999999996,63.141999999999996,62.87866667,0.389062467,1.3423770130000001,-0.953314546,14.63510197,11.78815057,20.32900475,0.193084361,268221
002594.SZ,20151127,63.05,64.43,60.0,60.3,63.73,-3.43,-5.38,201411.8,1257538.797,63.711999999999996,63.141999999999996,62.87866667,-0.117536611,1.050394288,-1.1679308990000001,10.98367781,12.38840765,8.174218135,0.364482033,255345
002594.SZ,20151130,60.8,62.83,58.28,62.68,60.3,2.38,3.95,203184.11,1241626.365,62.571999999999996,63.141999999999996,62.87866667,-0.323247721,0.775665886,-1.098913607,18.6318646,14.75021479,26.39516423,0.413220855,174901
002594.SZ,20151201,62.65,62.67,61.35,61.95,62.68,-0.73,-1.16,90904.49,562915.2533,62.571999999999996,63.141999999999996,62.87866667,-0.538967278,0.512739253,-1.051706531,26.65923638,18.758259600000002,42.46118995,0.41352635600000004,68435
002594.SZ,20151202,61.75,63.55,61.5,63.12,61.95,1.17,1.89,120695.69,756385.4651,62.571999999999996,63.141999999999996,62.87866667,-0.6085029160000001,0.288490819,-0.896993736,41.97928102,29.09012733,67.75758838,0.39495074700000005,175151
002594.SZ,20151203,63.11,63.89,62.61,63.29,63.12,0.17,0.27,115975.73,732490.207,62.571999999999996,63.141999999999996,62.87866667,-0.642486645,0.10229532599999999,-0.7447819720000001,47.21094661,38.616488000000004,64.39986383,0.33896691,221912
002594.SZ,20151204,63.15,63.15,61.51,61.82,63.29,-1.47,-2.32,109078.26,679399.3651,62.571999999999996,63.141999999999996,62.87866667,-0.779055246,-0.073974788,-0.705080458,51.33976977,46.84333247,60.33264438,0.441310831,201184
002594.SZ,20151207,61.84,63.0,61.2,62.06,61.82,0.24,0.39,95078.12,590640.1921,61.85,62.43,62.87866667,-0.858030016,-0.230785834,-0.627244182,52.05746098,50.20272579,55.76693138,0.367328407,226401
002594.SZ,20151208,61.8,61.93,60.0,60.3,62.06,-1.76,-2.84,104372.48,635856.9043,61.85,62.43,62.87866667,-1.050525577,-0.39473378200000003,-0.655791794,41.95867026,48.451966999999996,28.97207677,0.342512521,249045
002594.SZ,20151209,59.87,63.49,59.58,62.88,60.3,2.58,4.28,210746.4,1313684.571,61.85,62.43,62.87866667,-0.983557419,-0.51249851,-0.47105890899999997,50.98795462,48.33469529,56.29447329,0.507224805,118711
002594.SZ,20151210,63.5,63.98,62.21,62.42,62.88,-0.46,-0.73,130993.49,825302.1399,61.85,62.43,62.87866667,-0.956576015,-0.601314011,-0.35526200399999996,58.21734886,50.38799125,73.87606409,0.432957783,345949
002594.SZ,20151211,62.15,62.45,60.62,61.59,62.42,-0.83,-1.33,99867.46,610441.9581,61.85,62.43,62.87866667,-0.990746413,-0.6792004909999999,-0.311545922,64.37004837,57.85845062,77.39324386,0.266659478,354577
