ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj
002594.SZ,20151125,64.2,65.69,63.82,65.12,64.51,0.61,0.95,157092.62,1019115.47,63.712,63.142,62.87866667,0.680771653,1.580705649,-0.899933996,11.54644316,11.89275971,10.85381007
002594.SZ,20151126,65.5,65.7,63.68,63.73,65.12,-1.39,-2.13,156347.91,1009955.289,63.712,63.142,62.87866667,0.389062467,1.342377013,-0.953314546,14.63510197,11.78815057,20.32900475
002594.SZ,20151127,63.05,64.43,60,60.3,63.73,-3.43,-5.38,201411.8,1257538.797,63.712,63.142,62.87866667,-0.117536611,1.050394288,-1.167930899,10.98367781,12.38840765,8.174218135
002594.SZ,20151130,60.8,62.83,58.28,62.68,60.3,2.38,3.95,203184.11,1241626.365,62.572,63.142,62.87866667,-0.323247721,0.775665886,-1.098913607,18.6318646,14.75021479,26.39516423
002594.SZ,20151201,62.65,62.67,61.35,61.95,62.68,-0.73,-1.16,90904.49,562915.2533,62.572,63.142,62.87866667,-0.538967278,0.512739253,-1.051706531,26.65923638,18.7582596,42.46118995
002594.SZ,20151202,61.75,63.55,61.5,63.12,61.95,1.17,1.89,120695.69,756385.4651,62.572,63.142,62.87866667,-0.608502916,0.288490819,-0.896993736,41.97928102,29.09012733,67.75758838
002594.SZ,20151203,63.11,63.89,62.61,63.29,63.12,0.17,0.27,115975.73,732490.207,62.572,63.142,62.87866667,-0.642486645,0.102295326,-0.744781972,47.21094661,38.616488,64.39986383
002594.SZ,20151204,63.15,63.15,61.51,61.82,63.29,-1.47,-2.32,109078.26,679399.3651,62.572,63.142,62.87866667,-0.779055246,-0.073974788,-0.705080458,51.33976977,46.84333247,60.33264438
002594.SZ,20151207,61.84,63,61.2,62.06,61.82,0.24,0.39,95078.12,590640.1921,61.85,62.43,62.87866667,-0.858030016,-0.230785834,-0.627244182,52.05746098,50.20272579,55.76693138
002594.SZ,20151208,61.8,61.93,60,60.3,62.06,-1.76,-2.84,104372.48,635856.9043,61.85,62.43,62.87866667,-1.050525577,-0.394733782,-0.655791794,41.95867026,48.451967,28.97207677
002594.SZ,20151209,59.87,63.49,59.58,62.88,60.3,2.58,4.28,210746.4,1313684.571,61.85,62.43,62.87866667,-0.983557419,-0.51249851,-0.471058909,50.98795462,48.33469529,56.29447329
002594.SZ,20151210,63.5,63.98,62.21,62.42,62.88,-0.46,-0.73,130993.49,825302.1399,61.85,62.43,62.87866667,-0.956576015,-0.601314011,-0.355262004,58.21734886,50.38799125,73.87606409
002594.SZ,20151211,62.15,62.45,60.62,61.59,62.42,-0.83,-1.33,99867.46,610441.9581,61.85,62.43,62.87866667,-0.990746413,-0.679200491,-0.311545922,64.37004837,57.85845062,77.39324386
002594.SZ,20151214,60.8,62,60.51,62,61.59,0.41,0.67,81755.42,501215.13,63.01,62.43,62.87866667,-0.973520982,-0.738064589,-0.235456393,57.77113238,60.11950987,53.07437739
