ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,MACD,slowj,score,Read_count
002594.SZ,20160118,57.01,58.6,56.52,57.68,58.05,-0.37,-0.64,105704.97,607753.5816,58.562,-1.414834358,59.65501104,0.328391561,271914
002594.SZ,20160119,57.5,59.1,56.98,58.87,57.68,1.19,2.06,137399.99,798925.2821,56.558,-1.342086566,59.99199574,0.348526078,216884
002594.SZ,20160120,59,59.7,57.1,57.74,58.87,-1.13,-1.92,113692.67,663507.6674,56.558,-1.359938448,37.60619911,0.513199142,243484
002594.SZ,20160121,57.1,58.3,56,56.02,57.74,-1.72,-2.98,115329.17,660993.1444,56.558,-1.495635069,7.104788526,0.631519546,262999
002594.SZ,20160122,56.2,56.85,53.4,55.16,56.02,-0.86,-1.54,123017.58,677639.106,56.558,-1.6535098,-9.617499028,0.257150985,404337
002594.SZ,20160125,55.7,56,54.25,55,55.16,-0.16,-0.29,89777.12,494629.2683,56.558,-1.771120944,1.804387731,0.277836463,339043
002594.SZ,20160126,54.17,54.89,49.5,49.97,55,-5.03,-9.15,151616.15,787099.0756,47.928,-2.244336275,15.59832907,0.347683078,379396
002594.SZ,20160127,50.48,50.68,45.01,48.18,49.97,-1.79,-3.58,132860.38,632329.6575,47.928,-2.732304567,15.92759149,0.349639622,344153
002594.SZ,20160128,47,48.2,45.07,45.3,48.18,-2.88,-5.98,94022.02,439850.3734,47.928,-3.313222124,0.985611932,0.342096216,267923
002594.SZ,20160129,45.2,48.4,45.2,47.59,45.3,2.29,5.06,105753.49,494660.8506,47.928,-3.547921381,15.40737542,0.238271632,222532
002594.SZ,20160201,47.85,49.58,47.3,48.6,47.59,1.01,2.12,116492.75,567275.3911,47.928,-3.610800613,18.90032456,0.329611596,37615
002594.SZ,20160202,48.61,50.79,48.6,50.46,48.6,1.86,3.83,105173.34,528591.539,50.43,-3.470540175,45.68616439,0.496931273,439841
002594.SZ,20160203,50.39,50.68,49.73,50.41,50.46,-0.05,-0.1,66779.99,334550.9351,50.43,-3.325087807,58.15702061,0.410740282,44779
002594.SZ,20160204,51,52.3,50.71,51.21,50.41,0.8,1.59,71640.66,369396.7081,50.43,-3.109418997,68.12114666,0.254847189,333154
002594.SZ,20160205,51.5,51.9,50.01,50.07,51.21,-1.14,-2.23,65890.92,333300.4346,50.43,-2.995952904,62.72122971,0.216947868,89527
002594.SZ,20160215,48.19,50.47,47.9,50,50.07,-0.07,-0.14,52054.95,256365.4964,50.43,-2.878497099,71.11313068,0.396941678,230326
002594.SZ,20160216,50.25,52.63,50.25,52.08,50,2.08,4.16,80021.15,415262.2286,53.588,-2.587744009,92.01017211,0.419196393,70194
002594.SZ,20160217,52.2,54.98,52.2,53.81,52.08,1.73,3.32,129986.86,700028.0664,53.588,-2.192450346,107.5048507,0.468074175,334315
002594.SZ,20160218,54.61,54.76,53.1,53.25,53.81,-0.56,-1.04,67409.5,361546.2454,53.588,-1.902434509,98.27194279,0.456937834,110622
002594.SZ,20160219,53.9,55.25,53.5,54.29,53.25,1.04,1.95,93274.95,506556.6954,53.588,-1.570570996,83.58359066,0.387697518,199866
002594.SZ,20160222,55.2,55.5,54.01,54.51,54.29,0.22,0.41,109220.75,597064.4712,53.588,-1.275115867,82.03717415,0.288659565,91593
002594.SZ,20160223,54.76,55.71,54.05,54.7,54.51,0.19,0.35,99202.18,543904.058,52.876,-1.013945999,91.0211474,0.478488618,265147
002594.SZ,20160224,54.23,55.25,53.02,55.02,54.7,0.32,0.59,99757.6,541977.6448,52.876,-0.772243726,92.41261694,0.358526262,209085
002594.SZ,20160225,56.03,56.65,51.15,51.8,55.02,-3.22,-5.85,213720.12,1169319.529,52.876,-0.830941446,56.36190684,0.608634401,242766
002594.SZ,20160226,52.81,53.09,51.22,52.35,51.8,0.55,1.06,88412.62,462164.3787,52.876,-0.823585627,22.64681624,0.50204395,411169
002594.SZ,20160229,53.1,53.3,49,50.51,52.35,-1.84,-3.51,124177.34,630542.5892,52.876,-0.955217556,-11.42774383,0.583853098,353596
002594.SZ,20160301,50.54,51.88,50.08,51.54,50.51,1.03,2.04,80229.88,409803.5939,53.334,-0.965297073,7.659172346,0.691498183,188794
002594.SZ,20160302,51.09,54.21,51.09,53.9,51.54,2.36,4.58,118288.17,623608.1316,53.334,-0.773931486,50.35576823,0.387750048,29406
002594.SZ,20160303,54,54.92,53.55,53.58,53.9,-0.32,-0.59,97766.04,529712.8847,53.334,-0.640708516,77.15277778,0.401337983,271597
002594.SZ,20160304,53.41,55,52.75,53.7,53.58,0.12,0.22,115790.03,625504.3132,53.334,-0.519457374,83.25344953,0.478175659,235715
002594.SZ,20160307,54.53,54.99,53.62,53.95,53.7,0.25,0.47,68695.2,371520.5169,53.334,-0.398597278,68.56935367,0.506522362,551239
002594.SZ,20160308,54,54,51.55,53.11,53.95,-0.84,-1.56,77846.8,408570.936,52.24,-0.366372448,57.37109659,0.588537422,66108
002594.SZ,20160309,52.12,52.7,51.8,52,53.11,-1.11,-2.09,56794.26,296179.734,52.24,-0.425496898,49.69498911,0.32119448,63929
002594.SZ,20160310,52,52.45,51.25,51.5,52,-0.5,-0.96,52084.23,268636.2849,52.24,-0.506856545,35.68264343,0.391899365,387550
002594.SZ,20160311,51.4,52.1,50.62,51.26,51.5,-0.24,-0.47,40147.69,205633.4754,52.24,-0.583969014,20.21175408,0.430340891,28185
002594.SZ,20160314,52.1,54,51.62,53.33,51.26,2.07,4.04,97799.23,519334.8282,52.24,-0.472601644,41.17474907,0.289685932,204306
002594.SZ,20160315,53.2,55.49,53.2,54.44,53.33,1.11,2.08,161424.19,880730.7525,55.296,-0.291415224,73.74680653,0.456636018,191813
002594.SZ,20160316,54.62,54.75,52.9,53,54.44,-1.44,-2.65,86341.95,462486.0074,55.296,-0.261010875,82.29330298,0.555404331,26529
002594.SZ,20160317,53.68,55.3,53.28,55.06,53,2.06,3.89,143350.13,783634.2803,55.296,-0.069884837,91.37871247,0.460756643,194645
002594.SZ,20160318,55.06,57.39,55.06,56.95,55.06,1.89,3.43,150854.03,855458.1175,55.296,0.231423424,91.0519159,0.379807831,188132
002594.SZ,20160321,57.66,57.86,56.02,57.03,56.95,0.08,0.14,142481.92,810929.5443,55.296,0.471235613,112.0449968,0.283901432,376410
002594.SZ,20160322,56.9,58.2,56.1,57.71,57.03,0.68,1.19,132023.36,758552.8201,57.3,0.707997463,101.723124,0.516595444,70415
002594.SZ,20160323,57.2,57.98,56.68,57.3,57.71,-0.41,-0.71,82493.42,472493.4247,57.3,0.85271974,88.20317355,0.226019686,20375
002594.SZ,20160324,56.9,58.39,56.1,56.48,57.3,-0.82,-1.43,91007.98,518424.8897,57.3,0.890975429,75.84511781,0.628565855,517170
002594.SZ,20160325,56.48,57.61,56.1,56.96,56.48,0.48,0.85,81350.57,462177.833,57.3,0.949084868,65.5300685,0.694821388,267602
002594.SZ,20160328,57.57,59.86,57.2,58.05,56.96,1.09,1.91,140569.2,824880.2573,57.3,1.070747991,62.61189225,0.416654073,480273
002594.SZ,20160329,58.3,59.38,56.86,56.87,58.05,-1.18,-2.03,145902,844984.5297,58.35,1.059734791,56.70462175,0.187906133,466278
002594.SZ,20160330,57.15,58.92,57.15,58.8,56.87,1.93,3.39,104241.55,605828.1355,58.35,1.192989579,66.75673549,0.342376742,122308
002594.SZ,20160331,58.83,59.77,58.38,58.81,58.8,0.01,0.02,101934.15,601474.5963,58.35,1.284593877,68.66362234,0.493460479,502964
002594.SZ,20160401,58.79,58.8,57.26,58.3,58.81,-0.51,-0.87,58376.44,338765.969,58.35,1.301040619,71.15334781,0.411798706,113655
002594.SZ,20160405,59.18,60.23,58.53,58.97,58.3,0.67,1.15,143295.41,853440.9613,58.35,1.352546863,64.01971242,0.394741195,420481
002594.SZ,20160406,58.54,58.95,57.9,58.35,58.97,-0.62,-1.05,96696.31,563382.6699,57.766,1.328028429,50.87634899,0.291469744,79557
002594.SZ,20160407,58.48,58.66,56.69,57.05,58.35,-1.3,-2.23,88805.72,510245.3065,57.766,1.189980899,29.1703963,0.378398957,319754
002594.SZ,20160408,56.6,57.95,56.57,57.7,57.05,0.65,1.14,71666.21,410464.8402,57.766,1.120114818,11.06480039,0.517179885,266279
002594.SZ,20160411,57.7,58.83,57.41,57.83,57.7,0.13,0.23,84675.9,491337.522,57.766,1.062981964,11.94019209,0.508312354,240857
002594.SZ,20160412,57.75,58.4,56.8,57.9,57.83,0.07,0.12,89768.73,516656.7256,57.766,1.011690048,35.35079556,0.37941134,240963
002594.SZ,20160413,58.6,59.33,58.43,58.59,57.9,0.69,1.19,119290.95,702845.5357,59.608,1.015017578,55.75659612,0.429976509,370429
002594.SZ,20160414,58.8,59.08,58.33,58.75,58.59,0.16,0.27,65735.34,385405.5434,59.608,1.018820997,66.93989071,0.555595023,207744
002594.SZ,20160415,58.59,58.89,57.6,58.24,58.75,-0.51,-0.87,65158.69,379621.9933,59.608,0.969506628,63.17547055,0.410486725,86767
