trade_date,close£¨Y£©,change(X2),pct_chg(x3),vol(X4),MACD(X5),slowj(X6),score(X7),read(X8)
20160323,57.3,-0.41,-0.71,-0.168337895,0.85271974,88.20317355,0.296019686,-0.451846832
20160324,56.48,-0.82,-1.43,-0.097897774,0.890975429,75.84511781,0.698565855,0.569557836
20160325,56.96,0.48,0.85,-0.177792581,0.949084868,65.5300685,0.764821388,0.056448968
20160328,58.05,1.09,1.91,0.312117342,1.070747991,62.61189225,0.486654073,0.493698039
20160329,56.87,-1.18,-2.03,0.356235074,1.059734791,56.70462175,0.257906133,0.464924484
20160330,58.8,1.93,3.39,0.011582253,1.192989579,66.75673549,0.412376742,-0.242273785
20160331,58.81,0.01,0.02,-0.007506641,1.284593877,68.66362234,0.563460479,0.540350468
20160401,58.3,-0.51,-0.87,-0.367855307,1.301040619,71.15334781,0.481798706,-0.260064251
20160405,58.97,0.67,1.15,0.334671011,1.352546863,64.01971242,0.464741195,0.370766391
20160406,58.35,-0.62,-1.05,-0.050838778,1.328028429,50.87634899,0.361469744,-0.330169337
20160407,57.05,-1.3,-2.23,-0.116116856,1.189980899,29.1703963,0.448398957,0.163672866
20160408,57.7,0.65,1.14,-0.257910342,1.120114818,11.06480039,0.587179885,0.053728896
20160411,57.83,0.13,0.23,-0.150282452,1.062981964,11.94019209,0.578312354,0.001461563
20160412,57.9,0.07,0.12,-0.108149968,1.011690048,35.35079556,0.44941134,0.001679498
20160413,58.59,0.69,1.19,0.136084465,1.015017578,55.75659612,0.499976509,0.267860069
20160414,58.75,0.16,0.27,-0.306975849,1.018820997,66.93989071,0.625595023,-0.066618375
20160415,58.24,-0.51,-0.87,-0.311746418,0.969506628,63.17547055,0.480486725,-0.315345662
20160418,60.02,1.78,3.06,0.190603468,1.061815808,86.92922749,0.535907728,-0.23165255
20160419,62.44,2.42,4.03,1.040731016,1.315085782,80.69167553,0.477587985,0.212475858
20160420,60.21,-2.23,-3.57,0.567982649,1.320638204,66.56244636,0.357251155,0.495984298
20160421,62.13,1.92,3.19,0.424203583,1.463100777,39.59223497,0.517829971,-0.408646408
20160422,61.9,-0.23,-0.37,-0.114595634,1.539695661,42.76460406,0.486504864,-0.147311801
20160425,60.75,-1.15,-1.86,-0.121131227,1.490421617,51.27751087,0.713100351,-0.352008044
20160426,62.03,1.28,2.11,-0.248109187,1.536939997,49.02004173,0.699951742,0.072450724
20160427,62.33,0.3,0.48,-0.094032675,1.57980266,51.34471442,0.534536418,0.084784598
20160428,61.89,-0.44,-0.71,-0.221850086,1.560281354,63.17093977,0.63658355,-0.409250868
20160429,63.71,1.82,2.94,0.484310435,1.672391084,75.23912322,0.471656355,0.258190756
20160503,64.3,0.59,0.93,0.271588892,1.788233282,95.22257542,0.595614371,0.58917402
20160504,63.55,-0.75,-1.17,-0.051692872,1.798785053,100.7259034,0.48973512,-0.207441232
20160505,63.47,-0.08,-0.13,-0.26022601,1.780171368,86.23101992,0.68962631,-0.230408677
20160506,61.2,-2.27,-3.58,-0.000243943,1.564218522,27.38716077,0.468586446,0.063568855
20160509,59,-2.2,-3.59,-0.013547183,1.20170027,-7.383413815,0.454810558,-0.250839032
20160510,58.7,-0.3,-0.51,-0.382358697,0.880049784,-29.52282721,0.533272539,-0.048385871
20160511,58.31,-0.39,-0.66,-0.276234986,0.586904249,-14.50187036,0.481859056,-0.226370716
20160512,59.51,1.2,2.06,-0.168495163,0.44626995,17.86572788,0.441662003,-0.313762551
20160513,59.17,-0.34,-0.57,-0.36964515,0.303878177,31.51296471,0.71736241,0.130448096
20160516,60.56,1.39,2.35,-0.305717706,0.299737863,51.97746696,0.462869783,-0.363521578
20160517,60.34,-0.22,-0.36,-0.401360643,0.275528354,54.80701989,0.578113838,0.046892735
20160518,58.56,-1.78,-2.95,-0.36496459,0.111426564,38.53885781,0.529723365,0.013781044
20160519,58.57,0.01,0.02,-0.540215182,-0.017615313,26.97770779,0.696390965,-0.323575783
20160520,59.1,0.53,0.9,-0.548114231,-0.076236551,30.06656708,0.630301,0.664231982
20160524,59.23,-0.2,-0.34,-0.33617092,-0.124521632,67.80395774,0.514567854,0.016647092
20160525,59.12,-0.11,-0.19,-0.503003834,-0.155029486,48.01666991,0.413117591,0.503470151
20160526,58.77,-0.35,-0.59,-0.375745836,-0.20508516,29.05100832,0.485121781,-0.405402058
20160527,57.79,-0.98,-1.67,-0.362610453,-0.320142054,0.942302338,0.461647118,0.036520274
20160530,57.92,0.13,0.23,-0.497257642,-0.396267632,1.465167174,0.579300062,-0.450722207
20160531,59.8,1.88,3.25,-0.127803984,-0.301422798,55.33639149,0.504084549,-0.302814414
20160601,59.74,-0.06,-0.1,-0.275839128,-0.228465474,108.5971962,0.352423732,0.245077663
20160602,59.92,0.18,0.3,-0.443646589,-0.154342609,134.9183584,0.408666626,-0.445033287
20160603,60,0.08,0.13,-0.331715962,-0.088128482,102.0082578,0.498915021,-0.135401461
20160606,60.15,0.15,0.25,-0.364973525,-0.023281192,82.27877768,0.646562653,-0.318384413
20160607,61.26,1.11,1.85,-0.106645955,0.116337411,79.19393473,0.448042948,0.170591266
20160608,60.35,-0.91,-1.49,-0.297472518,0.15180683,65.16138382,0.358891638,0.099129227
20160613,57.44,-2.91,-4.82,0.03298028,-0.054270484,11.19597996,0.379654487,0.244929632
20160614,57.06,-0.38,-0.66,-0.382129042,-0.245421992,-29.01254985,0.881621894,-0.442294711
20160615,59.14,2.08,3.65,0.081812656,-0.226461812,-7.098914268,0.603145632,0.073996827
20160616,59.42,0.28,0.47,-0.002136369,-0.186690026,54.59191933,0.403017642,-0.133590135
20160617,59.21,-0.21,-0.35,-0.295087192,-0.17015441,81.46469529,0.650344316,-0.411049858
20160620,59.6,0.39,0.66,-0.482675576,-0.124148963,66.58952589,0.422109199,0.188328276
20160622,60.92,1.53,2.58,0.251222579,0.036011259,79.12087912,0.530390531,0.347782499
20160623,60.03,-0.89,-1.46,-0.307627423,0.073862087,79.50267325,0.425186639,-0.379529502
20160624,59.11,-0.92,-1.53,-0.169463589,0.029285247,66.96451696,0.491995745,-0.275332019
20160627,59.67,0.56,0.95,-0.456258132,0.038699003,47.09434084,0.728118702,0.039795463
20160628,60.3,0.63,1.06,-0.270613301,0.095889848,53.28282828,0.3828,-0.420696555
20160629,60.4,0.1,0.17,-0.29164583,0.147581936,73.92957351,0.349864568,0.601625085
20160630,61.01,0.61,1.01,-0.12394269,0.235060559,87.20145903,0.444567086,0.041892571
20160701,61.39,0.38,0.62,-0.096989741,0.331232579,92.84898695,0.646945223,-0.457348657
20160704,61.45,0.06,0.1,-0.16875791,0.407592622,97.8388564,0.416393294,0.953073655
20160705,60.8,-0.65,-1.06,-0.090792593,0.410922085,82.59909032,0.337590034,0.200413375
20160706,60.82,0.02,0.03,-0.440504293,0.410443207,71.10591293,0.536488728,1.722305201
20160707,61.93,1.11,1.83,0.1695649,0.493937611,72.82814666,0.583033911,2.437408744
20160708,62.19,0.26,0.42,-0.096309956,0.574465277,80.20101517,0.517485165,1.293792024
20160711,61.23,-0.96,-1.54,-0.280709137,0.554428943,56.61534919,0.425576831,3.015737671
20160712,61.07,-0.16,-0.26,-0.116425931,0.51964915,23.53697154,0.497689613,3.145388288
20160713,60.93,-0.14,-0.23,-0.106874204,0.475310005,0.087227627,0.405243538,0.770413494
20160714,61.2,0.27,0.44,-0.264777927,0.456693182,15.8072267,0.365434544,2.54732393
20160715,62.99,1.79,2.92,0.730610033,0.579694895,57.78792432,0.525061173,1.000266809
20160718,62.65,-0.34,-0.54,-0.03647975,0.642335041,79.73199994,0.283422326,1.723867752
20160719,62.8,0.15,0.24,-0.423837953,0.696057833,87.36082474,0.4901151,2.050831559
20160720,62.5,-0.3,-0.48,-0.399151448,0.706284433,63.07187858,0.647045407,0.239705366
20160721,61.94,-0.56,-0.9,-0.30385986,0.661575536,45.22222222,0.444669594,2.631644119
20160722,61.5,-0.44,-0.71,-0.217505075,0.58390816,26.61111111,0.462200818,2.185227397
20160725,60.52,-0.98,-1.59,-0.216232703,0.43822679,-3.112833764,0.58041885,1.254861887
20160726,61.17,0.65,1.07,-0.406978275,0.370946779,-1.145851278,0.276548746,2.033359771
20160727,59.38,-1.79,-2.93,-0.016607081,0.171215183,1.41110171,0.790233023,-0.162916751
20160728,59.75,0.37,0.62,-0.419915108,0.042294814,23.75651639,0.426273331,1.074888902
20160729,59.35,-0.4,-0.67,-0.541536116,-0.091101998,19.97169585,0.345916603,0.701955254
