trade_date,close,change,30MA,MACD,slowj,score,n_vol,n_amount,Go
20170920,61.82,4.57,50.57866667,2.455431301,109.3343887,0.569886667,5.264721617,5.20765423,0
20170921,62.57,0.75,66.09033333,2.892712504,92.01770178,0.521884,4.103822955,4.192626066,0
20170922,62.32,-0.25,66.09033333,3.182403333,82.9356525,0.490044444,2.295820312,2.44345334,1
20170925,60.29,-2.03,66.09033333,3.211165055,63.70453487,0.490138462,1.817419317,1.881123778,1
20170926,65,4.71,66.09033333,3.57283119,81.87242645,0.520962963,3.363095873,3.520587032,0
20170927,67.87,2.87,66.09033333,4.044417693,85.69024531,0.568522727,4.41832433,4.993457963,0
20170928,68.95,1.08,66.09033333,4.453957914,102.0129567,0.539688095,2.696211614,3.145708603,0
20170929,68.3,-0.65,66.09033333,4.672213552,82.11629519,0.522108108,2.346027845,2.758238486,1
20171009,72.08,3.78,66.09033333,5.091505422,87.2217657,0.643264286,3.303908318,4.064216158,0
20171010,70.62,-1.46,66.09033333,5.245520358,81.92653124,0.50055,1.611470511,2.091733955,1
20171011,68.65,-1.97,66.09033333,5.149258323,68.94277638,0.3681375,1.596730253,1.995434573,1
20171012,68.3,-0.35,66.09033333,4.987238116,52.17684558,0.617134783,1.585622287,1.95169681,1
20171013,67.72,-0.58,66.09033333,4.757196779,45.77036143,0.526975,0.79811325,1.082534067,1
20171016,67.4,-0.32,66.09033333,4.497224827,24.47699893,0.609256522,1.270746294,1.608244697,1
20171017,67.37,-0.03,66.09033333,4.239899511,-0.387079882,0.57638125,0.284004179,0.541789051,1
20171018,67.43,0.06,66.09033333,3.994759739,-14.60959505,0.437008696,0.580661937,0.870955284,0
20171019,65.15,-2.28,66.09033333,3.575293995,-10.52044566,0.571795238,1.217743229,1.474046824,1
20171020,68.55,3.4,66.09033333,3.477133722,36.59819425,0.451748,1.461862712,1.764928343,0
20171023,66.91,-1.64,66.09033333,3.22977586,48.24626773,0.486286667,0.951088356,1.243976288,1
20171024,65.06,-1.85,66.09033333,2.851592054,49.12332251,0.363366667,1.309019465,1.552950966,1
20171025,65.48,0.42,66.09033333,2.556301699,21.02071206,0.363307143,0.312082726,0.528077607,0
20171026,65.8,0.32,66.09033333,2.321344279,23.23019633,0.369590909,0.783265432,1.01111127,0
20171027,65.13,-0.67,66.09033333,2.057359471,32.42588972,0.596168421,0.29107011,0.511157149,1
20171030,62.53,-2.6,66.09033333,1.619680667,17.38596314,0.335315625,1.312702543,1.458350786,1
20171031,63,0.47,66.09033333,1.295804901,7.3488446,0.355411429,0.13803869,0.302382277,0
20171101,64.2,1.2,66.09033333,1.12301557,23.00920566,0.564678788,0.684655169,0.894215665,0
20171102,63.32,-0.88,66.09033333,0.904641985,33.36827589,0.663725,0.112174574,0.285967631,1
20171103,64.25,0.93,66.09033333,0.797430294,47.89761369,0.461615789,0.557173937,0.763538747,0
20171106,65.57,1.32,66.09033333,0.80964415,71.75879259,0.36434,0.503706888,0.725546004,0
20171107,65.52,-0.05,66.09033333,0.805998093,97.57117413,0.45294,0.262082598,0.480160585,1
20171108,67.37,1.85,66.09033333,0.94153468,109.1751328,0.580703226,1.492151773,1.815070786,0
