shijian,score,Read_count
20171013,0.351559351,238722
20171014,0.492735394,297066
20171015,0.176615738,188864
20171016,0.407134367,46068
20171017,0.339120159,276525
20171018,0.548360564,1574405
20171019,0.547093335,2593563
20171020,0.473877571,823993
20171021,0.625965787,102457
20171022,0.48386677,283133
20171023,0.360892811,405071
20171024,0.463455146,308802
20171025,0.375006126,422042
20171026,0.28449875,88406
20171027,0.604848068,1081499
20171028,0.330538849,46405
20171029,0.311072842,29472
20171030,0.284927758,355774
20171031,0.043551034,46851
20171101,0.471995282,269905
20171102,0.648002606,383244
20171103,0.551483424,47345
20171107,0.415676696,91298
20171108,0.536266703,555030
20171109,0.513358476,602813
20171110,0.237287165,51648
20171111,0.333910759,297364
20171112,0.432370687,536200
20171113,0.638826639,178727
20171114,0.440593977,290586
20171115,0.433549072,301433
20171116,0.590384092,126532
20171117,0.487473073,334752
20171118,0.305861187,59771
20171119,0.293267081,127183
20171120,0.665499255,3243148
20171121,0.591212789,1428171
20171122,0.477367208,129997
20171123,0.367855694,337332
20171124,0.326068676,53780
20171127,0.291345146,305814
20171128,0.298265065,224983
20171129,0.225652538,82097
20171130,0.405312394,226722
20171201,0.426190302,263747
20171202,0.257136863,60440
20171203,0.474537843,108509
20171204,0.374670248,29443
20171205,0.519842236,373941
20171206,0.246525277,372529
20171207,0.394226319,263230
20171208,0.337732884,174905
20171209,0.472970033,312106
20171210,0.163117713,137618
20171211,0.348527579,43522
20171213,0.351922086,513019
20171214,0.639265807,2722996
20171215,0.540321527,2410851
20171216,0.250806177,60025
20171217,0.377987351,335860
20171218,0.256555271,174284
20171219,0.446714295,86399
20171220,0.315582472,243579
20171221,0.125044419,50931
20171222,0.349830993,118496
20171224,0.2458304,66362
20171225,0.288690914,129325
20171226,0.205298919,10455
20171227,0.352848943,275513
20171228,0.296052957,121399
20171229,0.210711889,47760
20171230,0.381689142,26791
20171231,0.272295815,25087
20180101,0.358800833,168593
20180102,0.528649409,889759
20180103,0.628401047,3817644
20180104,0.420846958,340213
20180105,0.330379957,303692
20180107,0.673366108,48752
20180108,0.28329426,270387
20180109,0.361055376,9459
20180110,0.195489893,320345
20180111,0.412101978,71828
20180112,0.390577136,474302
20180113,0.246155674,81216
20180114,0.381878788,75063
20180115,0.164581341,65139
20180116,0.56272201,429104
20180117,0.63074884,1148312
20180118,0.156222467,364087
20180119,0.400192801,432897
20180120,0.633579546,313420
20180121,0.448648687,133466
20180122,0.610324139,351611
20180123,0.50135514,351155
20180124,0.573187573,579207
20180125,0.56189889,21270
20180126,0.482224068,70271
20180127,0.514751011,78830
20180128,0.431338016,111100
20180129,0.557318378,1278847
20180130,0.509800842,1091651
20180131,0.553110285,852603
20180201,0.443450518,200863
20180202,0.568167053,2227125
20180206,0.446476173,683326
20180207,0.499541622,184487
20180208,0.145283904,92700
20180209,0.439240672,1025290
20180210,0.318490397,43374
20180211,0.9745,245
20180212,0.808650937,379534
20180213,0.468741941,110666
20180214,0.660172839,415255
20180222,0.48694202,344720
20180223,0.531872709,264086
20180225,0.550325022,113555
20180226,0.541876191,707287
20180227,0.827566582,211122
20180228,0.523537362,79196
20180301,0.217122829,337605
20180302,0.357753823,300222
20180305,0.513163918,178095
20180306,0.659406127,540823
20180307,0.454533233,424341
20180308,0.475088635,381308
20180309,0.755660988,181650
20180310,0.645696433,81180
20180311,0.641719076,64470
20180312,0.390150636,356526
20180313,0.721131077,784463
20180314,0.555895464,442527
20180315,0.738673366,1916385
20180316,0.669182059,1891889
20180319,0.487707557,262675
20180320,0.312154669,135465
20180321,0.193372903,24748
20180322,0.379850885,334004
20180323,0.479583057,117410
20180324,0.8256,13345
20180325,0.634893408,60435
20180326,0.494669279,129919
20180327,0.596420153,363153
20180328,0.345191535,494848
20180329,0.241343556,277428
20180330,0.568031447,1173707
20180331,0.342138952,154222
20180401,0.424174965,139826
20180402,0.543761051,610475
20180403,0.746035254,2269257
20180404,0.59900191,3541155
20180405,0.472307477,183801
20180406,0.47214896,47943
20180407,0.57322889,22347
20180409,0.451101039,352893
20180410,0.704948686,302221
20180411,0.461669835,39423
20180412,0.58138755,536892
20180413,0.291325141,56111
20180415,0.354534971,7652
20180416,0.56791433,424687
20180417,0.714306365,231998
20180418,0.564226018,1758957
20180419,0.724004949,339320
20180420,0.680939612,955345
20180421,0.719265901,640760
20180422,0.362401592,35178
20180423,0.211401122,91910
20180425,0.317191228,166411
20180426,0.223726442,68523
20180427,0.587428677,248410
20180428,0.243456652,5592
20180429,0.392835077,70594
20180430,0.277786158,223888
20180501,0.15788672,319186
20180502,0.583354126,1300438
20180503,0.489234705,597334
20180504,0.435336278,335328
20180505,0.126811297,33026
20180506,0.424826106,145820
20180507,0.537072,782320
20180508,0.703783456,492365
20180509,0.066492345,6858
20180510,0.328198228,63843
20180511,0.146155149,366580
20180512,0.630103282,112082
20180513,0.357357923,91479
20180516,0.531882845,69669
20180517,0.281214477,107606
20180518,0.394476234,285033
20180519,0.033510045,37351
20180521,0.229337977,187268
20180522,0.555619597,609556
20180523,0.29304053,95777
20180524,0.617392034,934613
20180525,0.517622042,1128274
20180526,0.453031445,30758
20180527,0.28462404,96506
20180528,0.575948951,966355
20180529,0.380802636,26551
20180530,0.233382457,54552
20180531,0.346752767,113824
20180601,0.603014547,254973
20180604,0.272220198,39662
20180605,0.188517478,520602
20180606,0.256287552,99217
20180607,0.499546859,18752
20180608,0.289241463,573518
20180609,0.432039904,75801
20180611,0.356056805,272945
20180612,0.575385641,361345
20180613,0.578398651,637962
20180614,0.633221564,1709881
20180615,0.635767051,1786741
20180616,0.165071897,270288
20180617,0.45519809,164566
20180618,0.257091191,57553
20180619,0.654310584,255353
20180620,0.456514309,421766
20180621,0.176576798,18800
20180622,0.204136501,7386
20180623,0.231143765,165483
20180624,0.499050006,131480
20180625,0.556644828,552236
20180626,0.574912609,24926
20180627,0.269058679,16931
20180628,0.510003258,421601
20180629,0.49543066,92099
20180630,0.0836,4126
20180701,0.346145815,79084
20180702,0.478398373,149305
20180703,0.588514401,415219
20180704,0.704207239,889565
20180705,0.641006408,615333
20180706,0.628222217,972698
20180707,0.524640741,15483
20180708,0.9802,100000
20180709,0.539323197,727781
20180710,0.444509499,267202
20180711,0.304217281,180513
20180712,0.502924879,169506
20180713,0.634827155,85606
20180714,0.2452,1122
20180715,0.461648171,219989
20180716,0.368246471,532849
20180717,0.517936832,1253156
20180718,0.302324185,599190
20180719,0.611074429,1897379
20180720,0.441442497,600306
20180721,0.179066897,221756
20180722,0.2208,32593
20180723,0.733629473,962982
20180724,0.633685553,997827
20180725,0.618085629,252367
20180726,0.478499557,509625
20180727,0.395289434,388482
