,阅读量,回复量,新闻,日期
232,305,0,白酒涨价品种出现扩散与传导600559.002304,12-11 08:48
233,283,3,希望老白像舍得一样，股价翻倍，天天拉涨停。,12-11 08:47
234,158,1,后期还是看好,12-11 08:47
235,881,13,春节前暂时先看到99.49元，一百不敢说[毛估估],12-11 08:46
236,206,0,个个都在猜测此股的涨跌，如果都猜得对的，当庄是傻的吗,12-11 08:44
237,268,1,没有最高，只有更高，珍惜每一次回踩机会,12-11 08:43
238,1506,1,话说金牌老字号老白干恐怕还要付出很多努力才能续写辉煌，进入一类酒业，业绩不行，品,12-11 08:43
239,174,0,哎，青青那边有拉萨藏獒，你们知道是什么概念吗,12-11 08:41
240,719,0,大家尽量不要预测股价涨跌及价位了，连主力都预测不了，因为主力很多，不只几个，也很,12-11 08:36
241,541,4,昨天本来打算23.5出货的上了趟厕所，手机在充电回来一看我靠24了，赶紧出货，后,12-11 08:35
242,243,0,新年+新春与白酒,12-11 08:35
243,578,1,金牌老字号老白干恐怕还要付出很多努力才能续写辉煌，进入一类酒业，业绩不行，品牌文,12-11 08:34
244,1342,16,老白干春节前差不多到达30元,12-11 08:32
245,343,3,老白干会涨到27，28的股价吗？,12-11 08:29
246,506,6,哪位大佬能聊聊白酒高估值的逻辑，本轮上涨的逻辑。,12-11 08:26
247,311,6,跌停准备,12-11 08:26
248,381,0,老白干酒盘前回顾(12-10),12-11 08:26
249,138,2,十年大顶等着你们,12-11 08:25
250,314,6,大豪科技借壳白酒，没有散户接盘只能涨[大笑]都四个涨停了,12-11 08:24
251,270,4,庄家在偷偷出货吗？尾盘1.2万,12-11 08:23
252,191,0,武陵酱香第二，18大名酒，市值200亿,12-11 08:23
253,186,1,低开给个机,12-11 08:15
254,404,5,无数次的对自己说买股票不能追高，TMD还是管不住自己的手，今天追高站山顶了[哭],12-11 07:34
255,275,4,老白干估计股价不到800停不下来,12-11 07:32
256,148,1,600868,12-11 07:26
257,981,13,24买的。好慌啊[哭],12-11 07:11
258,475,2,对老白干分析三点——1单从技术层面，已经进入三线共振上攻阶段。2借助大消费“酒疯,12-11 07:08
259,1558,4,金牌老字号老白干恐怕还要付出很多努力才能续写辉煌，进入一类酒业，业绩不行，品牌文,12-11 06:42
260,155,0,冲过24就留，冲不过就减。,12-11 06:35
261,19277,159,老白干酒，资金在持续流入，股价大幅上涨，但风险也在悄无声息积累，随时断头铡刀式下,12-11 06:32
262,152,0,不看，不看，不看，春节前当机立断，卖出,12-11 06:27
263,176,2,只想保本出来啊,12-11 05:58
264,384,0,老白干酒12月10日被沪股通减持255.22万股,12-11 03:17
265,3192,3,老白干长线无忧，但短线波动大。说明主力在这个价位是有分歧的。前期盈利大的，可兑现,12-11 02:24
266,122,1,都跟上买酒，全国人民都喝酒啥子事情都不用做了继续涨到一百,12-11 01:18
267,171,1,明天百分之百要跌的啦，大家请注意啊。,12-11 00:58
268,111,0,完了，,12-11 00:56
269,101,0,潜龙勿用[想一下],12-11 00:45
270,701,7,长线持有必上百元！,12-11 00:39
271,697,2,我宣布，老白干已经换血完成，大约是40以上，懂的人自然懂，走着瞧,12-11 00:37
272,755,4,12月10日资金流向，主力净流入行业板块前五：光伏，钢铁，民营医院，风电，创新药,12-11 00:34
273,184,1,老白干酒炒过头了,12-11 00:30
274,3071,9,论老白干酒的合理估值：同样是三线品牌，2019年营收：老白干40亿，迎驾贡酒37,12-11 00:27
275,1951,19,昨天发帖就说会在22.4附近振荡，可惜没有站上23，今天回踩5日线，说明主力还是,12-11 00:09
276,3619,38,明天开盘低开三个点是八成了，明天板块不行的话低走7.8个点都是可能的，总之今天抄,12-11 00:09
277,494,6,准备今天涨停卖，结果没涨停，就没卖了,12-10 23:59
278,347,2,23.6最后上车机会，错过拍大腿,12-10 23:43
279,113,0,到顶了吗？,12-10 23:41
280,814,7,刚上班的毕业生，如果...,12-10 23:36
281,201,0,连涨了四天，感觉不调整一下，很难上升，早上赚了四个点一千多跑了，明天要是爹四五个,12-10 23:33
282,1451,13,今天追高了，24.15的本！明天能有惊吓还是惊喜呢！,12-10 23:18
283,149,0,不要加速丫，这样走不健康的,12-10 23:14
284,1594,6,坚定持有老白干到年底，50元见！（附理由）,12-11 06:56
285,5960,11,衡水老白干，2015年峰值是达近100元，虽然，2016年十转十五，2018年和,12-11 06:55
286,423,6,11月猪肉价格下跌15%，老白干酒也有养猪业务，业绩受影响哦。,12-11 00:51
287,259,3,分时走个头肩顶，真是担忧！,12-11 00:46
288,178,1,白酒股乱涨一定会引来干涉，鱼尾不吃了赚了走了,12-11 00:09
